,R2,MAPE_%,RMSE
mom_logdiff | RandomForest,0.7785090984930407,3.786038702171292,4277206.829084669
yoy_logdiff | GradientBoosting,0.640260305826214,4.509619749065209,5451003.824228643
yoy_logdiff | RandomForest,0.6222779438227959,4.66274130926571,5585582.602062028
mom_logdiff | Ridge,0.6358994990359743,4.713347126199824,5483943.155349391
trend_dev | GradientBoosting,0.5877251329790294,4.8580936616989066,5835468.597069746
trend_dev | RandomForest,0.14521728423449198,6.8130860651448115,8402531.941837953
mom_logdiff | GradientBoosting,-0.06908657155233766,6.847941828204994,9396989.539958395
yoy_logdiff | Ridge,-0.27194772803329315,7.780715157581487,10249836.507132033
trend_dev | Ridge,-0.6310868756663439,10.157426578600859,11607023.207238948
