,R2,MAPE_%,RMSE
yoy_logdiff | RandomForest,0.3476424083452121,7.9406753066567815,4685267.561610408
yoy_logdiff | Ridge,0.10996933437311784,9.331514617578469,5472603.9803524865
yoy_logdiff | GradientBoosting,-0.05898679645544558,10.230091143569375,5969484.233373967
trend_dev | Ridge,0.011009019478628979,11.626069015676913,5768829.4848794155
trend_dev | GradientBoosting,-0.029995712432306254,12.083517689465511,5887206.1723954445
trend_dev | RandomForest,-0.0748195398358682,12.307388828284001,6013943.080872561
mom_logdiff | Ridge,-0.9293161914153552,14.63029906916525,8057368.778054277
mom_logdiff | RandomForest,-1.114534185398396,15.902657870850492,8435268.13408066
mom_logdiff | GradientBoosting,-2.0636121730182184,18.319764670774262,10153328.325120235
