date,osm_shop_count
2015-01-01,829
2015-02-01,867
2015-03-01,900
2015-04-01,904
2015-05-01,909
2015-06-01,940
2015-07-01,1025
2015-08-01,1243
2015-09-01,1251
2015-10-01,1257
2015-11-01,1259
2015-12-01,1286
2016-01-01,1324
2016-02-01,1331
2016-03-01,1338
2016-04-01,1403
2016-05-01,1471
2016-06-01,1496
2016-07-01,1555
2016-08-01,1563
2016-09-01,1577
2016-10-01,1601
