date_dt,unemp,CPI_U,GasPrice,CDD,CHMR,CTA,osm_shop_count,osm_net_new,chicago_search_sentiment
2015-01-01,7.2,225.852,2.128,0.0,28859652.99,39461715.0,1037.0,18.0,64.0
2015-02-01,6.9,225.763,2.381,0.0,28628423.14,38516587.0,1081.0,44.0,51.0
2015-03-01,6.5,227.405,2.615,0.0,34437875.06,44908188.0,1122.0,41.0,75.0
2015-04-01,6.1,227.704,2.701,0.0,23660620.29,43186487.0,1126.0,4.0,69.0
2015-05-01,6.3,228.494,2.912,65.0,23554200.48,44674213.0,1131.0,5.0,87.0
2015-06-01,6.7,228.837,3.118,125.0,28153259.56,43941538.0,1172.0,41.0,74.0
2015-07-01,6.5,228.588,2.977,222.0,27798957.96,44380916.0,1258.0,86.0,85.0
2015-08-01,6.2,229.527,2.982,206.0,29768756.1,43470075.0,1485.0,227.0,77.0
2015-09-01,5.6,228.826,2.678,145.0,31635672.07,45070349.0,1493.0,8.0,69.0
2015-10-01,5.8,228.6,2.585,9.0,29923428.44,47721320.0,1501.0,8.0,74.0
2015-11-01,5.9,227.641,2.2,0.0,30204767.94,41599867.0,1503.0,2.0,82.0
2015-12-01,6.0,226.271,2.074,0.0,30119564.3,39316959.0,1531.0,28.0,85.0
2016-01-01,6.8,227.977,1.94,0.0,29838990.11,39925460.0,1569.0,38.0,61.0
2016-02-01,6.7,227.438,1.681,0.0,28282114.56,38776369.0,1577.0,8.0,56.0
2016-03-01,6.5,227.778,2.072,0.0,35403923.46,43039648.0,1584.0,7.0,77.0
2016-04-01,6.3,229.197,2.236,0.0,53375007.52,41725144.0,1643.0,59.0,81.0
2016-05-01,5.9,229.247,2.446,47.0,56260939.89,42713453.0,1713.0,70.0,78.0
2016-06-01,6.7,230.341,2.641,207.0,65962180.95,42230444.0,1775.0,62.0,84.0
2016-07-01,6.2,228.454,2.328,303.0,62493840.67,41696808.0,1840.0,65.0,94.0
2016-08-01,6.3,228.956,2.317,322.0,69627843.68,41446797.0,1851.0,11.0,81.0
2016-09-01,6.1,230.282,2.326,153.0,75197274.15,43060220.0,1866.0,15.0,78.0
2016-10-01,6.1,230.506,2.304,18.0,69006512.35,45583905.0,1895.0,29.0,77.0
2016-11-01,5.4,230.969,2.2,0.0,68263674.45,40504644.0,1924.0,29.0,79.0
2016-12-01,5.2,230.476,2.402,0.0,69553963.39,36391192.0,1967.0,43.0,78.0
2017-01-01,5.7,232.155,2.44,0.0,67405675.01,37786715.0,1990.0,23.0,53.0
2017-02-01,5.2,232.491,2.334,0.0,67825677.28,37488628.0,2026.0,36.0,65.0
2017-03-01,4.7,232.225,2.382,0.0,81531774.9,41072863.0,2053.0,27.0,69.0
2017-04-01,4.8,233.066,2.553,5.0,56297195.44,39786074.0,2088.0,35.0,78.0
2017-05-01,4.8,233.443,2.495,30.0,56233617.77,41178701.0,2093.0,5.0,75.0
2017-06-01,5.7,233.407,2.395,202.0,66386157.29,41193119.0,2121.0,28.0,83.0
2017-07-01,5.5,233.514,2.397,264.0,65212635.32,39969663.0,2147.0,26.0,92.0
2017-08-01,5.8,234.2,2.427,170.0,69421573.86,41021524.0,2166.0,19.0,92.0
2017-09-01,5.2,235.177,2.568,124.0,73119893.78,42285990.0,2183.0,17.0,82.0
2017-10-01,5.1,234.159,2.564,18.0,67781079.36,43816126.0,2198.0,15.0,87.0
2017-11-01,4.8,235.206,2.756,0.0,68994675.1,38845428.0,2203.0,5.0,89.0
2017-12-01,4.5,234.293,2.564,0.0,68813719.37,36051520.0,2213.0,10.0,82.0
2018-01-01,5.0,236.267,2.669,0.0,67466235.42,35994884.0,2228.0,15.0,55.0
2018-02-01,4.7,236.306,2.565,0.0,68308547.76,35402320.0,2253.0,25.0,57.0
2018-03-01,3.9,236.388,2.652,0.0,81326655.43,39893267.0,2281.0,28.0,78.0
2018-04-01,3.6,237.94,2.846,0.0,58821645.29,39373551.0,2293.0,12.0,67.0
2018-05-01,3.5,238.91,3.09,128.0,56928622.95,40431897.0,2305.0,12.0,75.0
2018-06-01,4.7,238.54,3.067,187.0,69006437.46,39599893.0,2322.0,17.0,93.0
2018-07-01,4.3,237.87,2.974,291.0,65512498.04,39465213.0,2354.0,32.0,100.0
2018-08-01,4.2,238.098,2.925,304.0,74052335.97,40048581.0,2379.0,25.0,97.0
2018-09-01,3.9,238.957,2.927,125.0,76306913.9,41597367.0,2385.0,6.0,74.0
2018-10-01,4.0,238.892,2.893,0.0,70785493.51,43590423.0,2403.0,18.0,73.0
2018-11-01,3.7,237.511,2.588,0.0,73166741.22,37544425.0,2410.0,7.0,83.0
2018-12-01,3.7,236.796,2.254,0.0,70562415.08,35501409.0,2418.0,8.0,87.0
2019-01-01,4.6,238.218,2.149,0.0,71626171.02,33033146.0,2442.0,24.0,51.0
2019-02-01,4.3,239.669,2.347,0.0,69887841.41,34944862.0,2505.0,63.0,49.0
2019-03-01,4.0,240.019,2.621,0.0,80402424.64,31161797.0,2818.0,313.0,70.0
2019-04-01,3.8,239.726,3.007,0.0,54919556.82,37874004.0,2973.0,155.0,66.0
2019-05-01,3.7,241.758,3.167,33.0,56461598.16,39701953.0,3078.0,105.0,74.0
2019-06-01,4.4,240.835,2.973,127.0,68656689.25,39583408.0,3120.0,42.0,80.0
2019-07-01,4.3,241.589,3.11,350.0,67846113.5,38544689.0,3155.0,35.0,83.0
2019-08-01,4.0,241.985,2.827,222.0,73986096.51,39332880.0,3149.0,-6.0,83.0
2019-09-01,3.5,242.393,2.753,142.0,75961708.73,40504073.0,3179.0,30.0,72.0
2019-10-01,3.6,243.236,2.753,0.0,72537143.53,41748713.0,3204.0,25.0,75.0
2019-11-01,3.2,242.661,2.629,0.0,73233944.89,36961008.0,3235.0,31.0,81.0
2019-12-01,3.0,242.079,2.604,0.0,71052949.49,34808947.0,3249.0,14.0,71.0
2020-01-01,3.9,244.361,2.645,0.0,72032875.24,36072142.0,3275.0,26.0,46.0
2020-02-01,3.9,244.407,2.56,0.0,69939707.75,34858049.0,3459.0,184.0,48.0
2020-03-01,6.6,242.655,2.327,0.0,81607813.21,23233727.0,3563.0,104.0,51.0
2020-04-01,19.8,240.364,1.899,0.0,58933107.67,8062778.0,3645.0,82.0,26.0
2020-05-01,16.5,242.65,2.154,36.0,54947219.99,9178429.0,3789.0,144.0,29.0
2020-06-01,15.0,243.475,2.337,221.0,50419580.68,10225049.0,4036.0,247.0,41.0
2020-07-01,13.9,244.046,2.371,360.0,38476836.9,12746594.0,4112.0,76.0,34.0
2020-08-01,11.6,244.341,2.341,270.0,46109877.15,12984554.0,4173.0,61.0,35.0
2020-09-01,10.8,245.745,2.327,61.0,56464654.48,13053733.0,4270.0,97.0,32.0
2020-10-01,9.1,245.584,2.263,0.0,61177461.54,13609917.0,4352.0,82.0,38.0
2020-11-01,8.7,244.61,2.201,0.0,60080433.44,11427941.0,4417.0,65.0,30.0
2020-12-01,8.9,244.235,2.281,0.0,61922896.3,11024833.0,4552.0,135.0,39.0
2021-01-01,8.8,246.008,2.452,0.0,59972884.82,10980903.0,4625.0,73.0,26.0
2021-02-01,8.2,247.387,2.635,0.0,55502405.69,10552678.0,4701.0,76.0,31.0
2021-03-01,7.5,248.984,2.999,0.0,68824077.96,13465695.0,4754.0,53.0,40.0
2021-04-01,7.5,251.491,3.061,0.0,57567755.4,13768950.0,4807.0,53.0,39.0
2021-05-01,7.5,253.934,3.224,42.0,54773167.33,15100909.0,4839.0,32.0,46.0
2021-06-01,8.7,254.974,3.359,249.0,81000519.72,16504335.0,4851.0,12.0,54.0
2021-07-01,7.8,255.929,3.381,264.0,"38,476,836.90",18566992.0,4868.0,17.0,65.0
2021-08-01,7.0,256.078,3.386,333.0,"46,109,877.15",19095700.0,4945.0,77.0,54.0
2021-09-01,5.9,256.881,3.377,148.0,"56,464,654.48",20883918.0,5006.0,61.0,53.0
2021-10-01,5.4,258.621,3.5,31.0,"61,177,461.54",21270174.0,5038.0,32.0,49.0
2021-11-01,4.7,259.254,3.556,0.0,"60,080,433.44",18767083.0,5044.0,6.0,56.0
2021-12-01,4.2,260.368,3.406,0.0,"61,922,896.30",17322199.0,5138.0,94.0,57.0
2022-01-01,5.2,262.73,3.428,0.0,"59,972,884.82",14367405.0,5222.0,84.0,58.0
2022-02-01,5.2,264.828,3.736,0.0,"55,502,405.69",16409515.0,5297.0,75.0,33.0
2022-03-01,4.7,268.417,4.51,0.0,"68,824,077.96",20245968.0,5443.0,146.0,45.0
2022-04-01,4.6,269.569,4.43,0.0,"57,567,755.40",19866149.0,5464.0,21.0,76.0
2022-05-01,4.8,274.301,4.893,87.0,"54,773,167.33",21288002.0,5599.0,135.0,66.0
2022-06-01,5.7,277.78,5.693,202.0,"81,000,519.72",21251430.0,5658.0,59.0,56.0
2022-07-01,5.4,277.311,5.298,288.0,"76,771,185.04",21226117.0,5707.0,49.0,83.0
2022-08-01,5.6,277.454,4.569,253.0,"83,357,864.18",22023690.0,5730.0,23.0,72.0
2022-09-01,4.9,278.03,4.177,94.0,"90,146,122.10",23253266.0,5793.0,63.0,67.0
2022-10-01,4.8,278.415,4.379,6.0,"85,283,258.60",23979377.0,5880.0,87.0,77.0
2022-11-01,4.5,276.861,4.181,0.0,"86,488,787.29",20715294.0,5933.0,53.0,55.0
2022-12-01,4.0,274.577,3.428,0.0,"87,661,170.07",18880544.0,5990.0,57.0,63.0
2023-01-01,4.4,276.982,3.513,0.0,"83,441,561.33",20017890.0,6020.0,30.0,53.0
2023-02-01,4.3,277.978,3.575,0.0,"85,863,590.61",19539309.0,6072.0,52.0,50.0
2023-03-01,4.1,280.279,3.637,0.0,"105,284,359.52",22580318.0,6076.0,4.0,60.0
2023-04-01,3.6,282.423,4.081,0.0,"69,640,097.29",22499665.0,6214.0,138.0,90.0
2023-05-01,3.9,283.415,4.111,62.0,"69,001,170.61",23980728.0,6284.0,70.0,52.0
2023-06-01,4.9,283.627,4.181,159.0,"88,051,371.30",23436503.0,6338.0,54.0,81.0
2023-07-01,4.6,283.528,4.024,271.0,"87,385,417.55",23370034.0,6383.0,45.0,94.0
