date_dt,unemp,CPI_U,GasPrice,CDD,CHMR,CTA,osm_shop_count,osm_net_new,chicago_search_sentiment
2023-08-01,5.3,283.957,4.305,236.0,"94,717,265.11",25378175.0,6388.0,5.0,80.0
2023-09-01,4.8,284.375,4.082,107.0,"99,929,808.86",25931573.0,6412.0,24.0,69.0
2023-10-01,4.8,285.211,3.661,11.0,"93,508,618.61",26871106.0,6487.0,75.0,68.0
2023-11-01,4.4,283.859,3.531,0.0,"91,728,883.17",23595469.0,6582.0,95.0,65.0
2023-12-01,4.1,283.76,3.234,0.0,"94,242,875.42",22503842.0,6615.0,33.0,61.0
2024-01-01,4.8,286.022,3.147,0.0,"93,362,452.16",21162627.0,6655.0,40.0,60.0
2024-02-01,5.2,287.394,3.416,0.0,"92,005,854.98",22980764.0,6701.0,46.0,48.0
2024-03-01,4.9,289.069,3.829,0.0,"107,555,352.03",25289346.0,6753.0,52.0,42.0
2024-04-01,4.8,290.918,4.025,0.0,"77,619,361.97",25859186.0,6788.0,35.0,65.0
2024-05-01,5.2,292.123,4.078,102.0,"76,173,811.94",27376367.0,6831.0,43.0,49.0
2024-06-01,6.4,292.106,3.987,245.0,"89,571,094.93",26101791.0,6878.0,47.0,52.0
2024-07-01,6.3,293.943,4.088,262.0,"88,354,986.09",26356013.0,6898.0,20.0,72.0
2024-08-01,6.0,294.608,3.961,260.0,"97,204,929.78",27238227.0,7003.0,105.0,64.0
2024-09-01,5.4,295.979,3.612,142.0,"101,434,140.94",28092852.0,7038.0,35.0,72.0
2024-10-01,5.4,295.239,3.498,25.0,"94,955,036.44",29811979.0,7102.0,64.0,46.0
2024-11-01,5.1,294.542,3.28,0.0,"98,916,368.52",25086912.0,7183.0,81.0,55.0
2024-12-01,4.5,294.757,3.313,0.0,"94,430,022.10",23036270.0,7265.0,82.0,63.0
2025-01-01,5.1,298.213,3.334,0.0,"92,999,053.80",23897201.0,7327.0,62.0,57.0
2025-02-01,5.3,298.457,3.325,0.0,"95,935,715.43",24037128.0,7393.0,66.0,43.0
2025-03-01,5.0,299.831,3.384,0.0,"108,845,450.02",28285212.0,7487.0,94.0,46.0
2025-04-01,4.7,299.983,3.445,0.0,"80,837,585.56",28849640.0,7561.0,74.0,53.0
2025-05-01,4.6,301.65,3.419,31.0,"80,294,648.32",29862445.0,7597.0,36.0,46.0
2025-06-01,5.0,302.442,3.503,237.0,"92,492,155.85",28962021.0,7655.0,58.0,57.0
2025-07-01,5.0,301.871,3.518,357.0,"89,847,351.17",29447751.0,7657.0,2.0,55.0
2025-08-01,4.7,303.636,3.475,238.0,"101,538,463.10",31212871.0,7709.0,52.0,75.0
2025-09-01,4.3,304.472,3.545,120.0,"101,843,015.99",30630011.0,7740.0,31.0,58.0
2025-10-01,4.6,303.156,3.296,19.0,"97,796,697.25",31647401.0,7787.0,47.0,77.0
2025-11-01,4.9,301.839,3.291,0.0,"100,002,404.53",26800473.0,7827.0,40.0,83.0
2025-12-01,4.6,301.159,3.073,0.0,"102,228,337.49",24587033.0,7871.0,44.0,63.0
2026-01-01,5.3,302.224,2.937,0.0,"109,324,242.63",24436679.0,7897.0,26.0,63.0
2026-02-01,5.5,304.489,2.967,0.0,"99,158,732.65",25560991.0,7921.0,24.0,51.0
2026-03-01,5.1,306.592,3.725,0.0,"116,815,151.63",28624796.0,8001.0,80.0,71.0
2026-04-01,5.3,309.364,4.275,6.0,"94,531,070.40",29366823.0,8147.0,146.0,71.0
