"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2018","Herkimer County Sales and Use Tax","$30,613,007","24"
"2018","Jefferson County Sales and Use Tax","$75,390,527","25"
"2018","Lewis County Sales and Use Tax","$12,035,304","26"
"2018","Livingston County Sales and Use Tax","$32,143,300","27"
"2018","Madison County Sales and Use Tax","$29,500,033","28"
"2018","Monroe County Sales and Use Tax","$495,109,218","29"
"2018","Montgomery County Sales and Use Tax","$29,399,381","30"
"2018","Nassau County Sales and Use Tax","$1,169,933,711","31"
"2018","Niagara County Sales and Use Tax","$119,181,949","32"
"2018","Oneida County Sales and Use Tax","$137,775,803","33"
"2018","Onondaga County Sales and Use Tax","$341,248,918","34"
"2018","Ontario County Sales and Use Tax","$82,247,283","35"
"2018","Orange County Sales and Use Tax","$281,762,554","36"
"2018","Orleans County Sales and Use Tax","$16,373,530","37"
"2018","Oswego County Sales and Use Tax","$46,089,844","38"
"2018","Otsego County Sales and Use Tax","$37,161,369","39"
"2018","Putnam County Sales and Use Tax","$59,283,804","40"
"2018","Rensselaer County Sales and Use Tax","$83,980,493","41"
"2018","Rockland County Sales and Use Tax","$211,480,323","42"
"2018","St. Lawrence County Sales and Use Tax","$57,037,615","43"
"2018","Saratoga County Sales and Use Tax","$120,026,666","44"
"2018","Schenectady County Sales and Use Tax","$102,533,134","45"
"2018","Schoharie County Sales and Use Tax","$15,485,318","46"
"2018","Schuyler County Sales and Use Tax","$10,773,493","47"
"2018","Seneca County Sales and Use Tax","$25,155,067","48"
"2018","Steuben County Sales and Use Tax","$55,475,994","49"
"2018","Suffolk County Sales and Use Tax","$1,404,875,125","50"
"2018","Sullivan County Sales and Use Tax","$40,239,334","51"
"2018","Tioga County Sales and Use Tax","$21,090,899","52"
"2018","Tompkins County Sales and Use Tax","$51,644,019","53"
"2018","Ulster County Sales and Use Tax","$116,005,361","54"
"2018","Warren County Sales and Use Tax","$52,246,630","55"
"2018","Washington County Sales and Use Tax","$19,651,688","56"
"2018","Wayne County Sales and Use Tax","$42,968,676","57"
"2018","Westchester County Sales and Use Tax","$528,641,766","58"
"2018","Wyoming County Sales and Use Tax","$18,395,795","59"
"2018","Yates County Sales and Use Tax","$11,835,703","60"
"2018","City of Auburn Sales and Use Tax","$8,684,760","61"
"2018","City of Batavia Sales and Use Tax","$199","62"
"2018","City of Canandaigua Sales and Use Tax","$203","63"
"2018","City of Corning Sales and Use Tax","$31,430","64"
"2018","City of Geneva Sales and Use Tax","$2,820","65"
"2018","City of Glens Falls Sales and Use Tax","$3,071,926","66"
"2018","City of Gloversville Sales and Use Tax","$3,457,614","67"
"2018","City of Hornell Sales and Use Tax","$8,776","68"
"2018","City of Ithaca Sales and Use Tax","$11,485,826","69"
"2018","City of Johnstown Sales and Use Tax","$3,807,204","70"
"2018","City of Mount Vernon Sales and Use Tax","$20,449,009","71"
"2018","City of New Rochelle Sales and Use Tax","$28,294,146","72"
"2018","City of Norwich Sales and Use Tax","$1,455,854","73"
"2018","City of Ogdensburg Sales and Use Tax","$28","74"
"2018","City of Olean Sales and Use Tax","$4,185,400","75"
"2018","City of Oneida Sales and Use Tax","$4,615,368","76"
"2018","City of Oswego Sales and Use Tax","$14,089,783","77"
"2018","City of Rome Sales and Use Tax","$7,436,243","78"
"2018","City of Salamanca Sales and Use Tax","$654,583","79"
"2018","City of Saratoga Springs Sales and Use Tax","$11,877,391","80"
"2018","City of Utica Sales and Use Tax","$10,012,136","81"
"2018","City of White Plains Sales and Use Tax","$49,643,193","82"
"2018","City of Yonkers Sales and Use Tax","$61,360,950","83"
"2018","City of Yonkers Special Sales and Use Tax","$30,767,899","84"
"2018","City of Newburgh Consumer Utilities","$1,738,449","85"
"2018","City of Port Jervis Consumer Utilities","$306,920","86"
"2018","Albany City School District Consumer Utilities","$3,907,690","87"
"2018","Batavia City School District Consumer Utilities","$670,692","88"
"2018","Cohoes City School District Consumer Utilities","$499,625","89"
"2018","Glen Cove City School District Consumer Utilities","$1,377,850","90"
"2018","Gloversville City School District Consumer Utilities","$538,731","91"
"2018","Hornell City School District Consumer Utilities","$258,372","92"
"2018","Hudson City School District Consumer Utilities","$601,573","93"
"2018","Johnstown City School District Consumer Utilities","$442,156","94"
"2018","Lackawanna City School District Consumer Utilities","$491,051","95"
"2018","Long Beach City School District Consumer Utilities","$1,579,483","96"
"2018","Middletown City School District Consumer Utilities","$1,762,189","97"
"2018","Mt. Vernon City School District Consumer Utilities","$2,393,220","98"
"2018","New Rochelle City School District Consumer Utilities","$2,507,544","99"
"2018","Newburgh City School District Consumer Utilities","$2,245,097","100"
"2018","Niagara Falls City School District Consumer Utilities","$1,792,347","101"
"2018","Ogdensburg City School District Consumer Utilities","$360,616","102"
"2018","Peekskill City School District Consumer Utilities","$837,711","103"
"2018","Rensselaer City School District Consumer Utilities","$405,351","104"
"2018","Rye City School District Consumer Utilities","$705,219","105"
"2018","Schenectady City School District Consumer Utilities","$2,037,860","106"
"2018","Troy City School District Consumer Utilities","$1,302,271","107"
"2018","Utica City School District Consumer Utilities","$1,723,742","108"
"2018","Watertown City School District Consumer Utilities","$1,093,014","109"
"2018","Watervliet City School District Consumer Utilities","$327,545","110"
"2018","White Plains City School District Consumer Utilities","$2,971,922","111"
"2018","New York City Convention Center Development Corporation Hotel Occupancy","$48,607,511","112"
"2018","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,353,312","113"
"2018","City of Long Beach Hotel Occupancy and Restaurant Meals","$2,443,810","114"
"2018","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$36,195,945","115"
"2018","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$8,176,689","116"
"2017","New York State Sales and Use Tax","$13,239,204,846","1"
"2017","New York City Sales and Use Tax","$7,044,042,965","2"
"2017","Municipal Assistance Corporation Sales and Use Tax","$0","3"
"2017","Metropolitan Commuter Transportation District Sales and Use Tax","$836,733,189","4"
"2017","Albany County Sales and Use Tax","$257,227,061","5"
"2017","Allegany County Sales and Use Tax","$18,947,057","6"
"2017","Broome County Sales and Use Tax","$121,909,512","7"
"2017","Cattaraugus County Sales and Use Tax","$34,937,501","8"
"2017","Cayuga County Sales and Use Tax","$34,113,810","9"
"2017","Chautauqua County Sales and Use Tax","$61,943,490","10"
"2017","Chemung County Sales and Use Tax","$55,227,157","11"
"2017","Chenango County Sales and Use Tax","$21,460,004","12"
"2017","Clinton County Sales and Use Tax","$51,210,412","13"
"2017","Columbia County Sales and Use Tax","$36,849,189","14"
"2017","Cortland County Sales and Use Tax","$27,728,688","15"
"2017","Delaware County Sales and Use Tax","$21,488,079","16"
"2017","Dutchess County Sales and Use Tax","$178,460,920","17"
"2017","Erie County Sales and Use Tax","$741,732,748","18"
"2017","Essex County Sales and Use Tax","$27,605,462","19"
"2017","Franklin County Sales and Use Tax","$20,991,390","20"
"2017","Fulton County Sales and Use Tax","$19,703,588","21"
"2017","Genesee County Sales and Use Tax","$36,927,414","22"
"2017","Greene County Sales and Use Tax","$30,650,108","23"
"2017","Hamilton County Sales and Use Tax","$3,524,815","24"
"2017","Herkimer County Sales and Use Tax","$29,935,207","25"
"2017","Jefferson County Sales and Use Tax","$72,443,772","26"
"2017","Lewis County Sales and Use Tax","$11,378,192","27"
"2017","Livingston County Sales and Use Tax","$29,872,474","28"
"2017","Madison County Sales and Use Tax","$26,207,319","29"
"2017","Monroe County Sales and Use Tax","$471,858,358","30"
"2017","Montgomery County Sales and Use Tax","$27,932,197","31"
"2017","Nassau County Sales and Use Tax","$1,121,496,034","32"
"2017","Niagara County Sales and Use Tax","$115,814,189","33"
"2017","Oneida County Sales and Use Tax","$132,702,086","34"
"2017","Onondaga County Sales and Use Tax","$330,870,887","35"
"2017","Ontario County Sales and Use Tax","$79,641,122","36"
"2017","Orange County Sales and Use Tax","$263,817,418","37"
"2017","Orleans County Sales and Use Tax","$15,174,070","38"
"2017","Oswego County Sales and Use Tax","$40,578,076","39"
"2017","Otsego County Sales and Use Tax","$35,911,051","40"
"2017","Putnam County Sales and Use Tax","$58,574,278","41"
"2017","Rensselaer County Sales and Use Tax","$80,524,100","42"
"2017","Rockland County Sales and Use Tax","$204,762,804","43"
"2017","St. Lawrence County Sales and Use Tax","$53,678,318","44"
"2017","Saratoga County Sales and Use Tax","$117,735,578","45"
"2017","Schenectady County Sales and Use Tax","$94,275,403","46"
"2017","Schoharie County Sales and Use Tax","$14,705,651","47"
"2017","Schuyler County Sales and Use Tax","$10,093,974","48"
"2017","Seneca County Sales and Use Tax","$23,363,651","49"
"2017","Steuben County Sales and Use Tax","$51,846,374","50"
"2017","Suffolk County Sales and Use Tax","$1,319,618,015","51"
"2017","Sullivan County Sales and Use Tax","$38,914,647","52"
"2017","Tioga County Sales and Use Tax","$19,436,583","53"
"2017","Tompkins County Sales and Use Tax","$48,288,523","54"
"2017","Ulster County Sales and Use Tax","$110,675,116","55"
"2017","Warren County Sales and Use Tax","$51,146,633","56"
"2017","Washington County Sales and Use Tax","$19,170,586","57"
"2017","Wayne County Sales and Use Tax","$41,653,963","58"
"2017","Westchester County Sales and Use Tax","$503,785,614","59"
"2017","Wyoming County Sales and Use Tax","$16,872,712","60"
"2017","Yates County Sales and Use Tax","$11,207,059","61"
"2017","City of Amsterdam Sales and Use Tax","$0","62"
"2017","City of Auburn Sales and Use Tax","$8,428,432","63"
"2017","City of Batavia Sales and Use Tax","$716","64"
"2017","City of Canandaigua Sales and Use Tax","$2,219","65"
"2017","City of Corning Sales and Use Tax","$28,274","66"
"2017","City of Cortland Sales and Use Tax","$0","67"
"2017","City of Elmira Sales and Use Tax","$0","68"
"2017","City of Fulton Sales and Use Tax","$0","69"
"2017","City of Geneva Sales and Use Tax","$7,386","70"
"2017","City of Glen Cove Sales and Use Tax","$0","71"
"2017","City of Glens Falls Sales and Use Tax","$2,957,238","72"
"2017","City of Gloversville Sales and Use Tax","$3,191,483","73"
"2017","City of Hornell Sales and Use Tax","$14,930","74"
"2017","City of Ithaca Sales and Use Tax","$10,735,166","75"
"2017","City of Johnstown Sales and Use Tax","$3,707,415","76"
"2017","City of Mechanicville Sales and Use Tax","$0","77"
"2017","City of Mount Vernon Sales and Use Tax","$18,268,354","78"
"2017","City of New Rochelle Sales and Use Tax","$27,869,983","79"
"2017","City of Norwich Sales and Use Tax","$1,567,970","80"
"2017","City of Ogdensburg Sales and Use Tax","$8","81"
"2017","City of Olean Sales and Use Tax","$4,106,984","82"
"2017","City of Oneida Sales and Use Tax","$4,608,928","83"
"2017","City of Oswego Sales and Use Tax","$13,626,621","84"
"2017","City of Plattsburgh Sales and Use Tax","$0","85"
"2017","City of Rome Sales and Use Tax","$7,259,835","86"
"2017","City of Salamanca Sales and Use Tax","$576,121","87"
"2017","City of Saratoga Springs Sales and Use Tax","$11,948,083","88"
"2017","City of Schenectady Sales and Use Tax","$0","89"
"2017","City of Sherrill Sales and Use Tax","$0","90"
"2017","City of Troy Sales and Use Tax","$0","91"
"2017","City of Utica Sales and Use Tax","$9,881,840","92"
"2017","City of White Plains Sales and Use Tax","$49,620,020","93"
"2017","City of Yonkers Sales and Use Tax","$57,975,949","94"
"2017","City of Yonkers Special Sales and Use Tax","$28,982,031","95"
"2017","City of Newburgh Consumer Utilities","$1,890,464","96"
"2017","City of Port Jervis Consumer Utilities","$218,354","97"
"2017","Albany City School District Consumer Utilities","$3,630,450","98"
"2017","Batavia City School District Consumer Utilities","$618,101","99"
"2017","Cohoes City School District Consumer Utilities","$448,877","100"
"2017","Glen Cove City School District Consumer Utilities","$1,363,688","101"
"2017","Gloversville City School District Consumer Utilities","$430,412","102"
"2017","Hornell City School District Consumer Utilities","$210,383","103"
"2017","Hudson City School District Consumer Utilities","$614,498","104"
"2017","Johnstown City School District Consumer Utilities","$382,331","105"
"2017","Lackawanna City School District Consumer Utilities","$454,356","106"
"2017","Long Beach City School District Consumer Utilities","$1,502,132","107"
"2017","Middletown City School District Consumer Utilities","$1,417,245","108"
"2017","Mt. Vernon City School District Consumer Utilities","$2,228,259","109"
"2017","New Rochelle City School District Consumer Utilities","$2,702,149","110"
"2017","Newburgh City School District Consumer Utilities","$1,915,435","111"
"2017","Niagara Falls City School District Consumer Utilities","$1,667,223","112"
"2017","Ogdensburg City School District Consumer Utilities","$340,579","113"
"2017","Peekskill City School District Consumer Utilities","$809,649","114"
"2017","Rensselaer City School District Consumer Utilities","$376,685","115"
"2017","Rye City School District Consumer Utilities","$651,837","116"
"2017","Schenectady City School District Consumer Utilities","$2,169,749","117"
"2017","Troy City School District Consumer Utilities","$1,324,824","118"
"2017","Utica City School District Consumer Utilities","$1,618,894","119"
"2017","Watertown City School District Consumer Utilities","$885,269","120"
"2017","Watervliet City School District Consumer Utilities","$303,199","121"
"2017","White Plains City School District Consumer Utilities","$3,419,486","122"
"2017","New York City Convention Center Development Corporation Hotel Occupancy","$54,483,770","123"
"2017","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,230,049","124"
"2017","City of Long Beach Hotel Occupancy and Restaurant Meals","$2,217,776","125"
"2017","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$53,628,386","126"
"2017","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$6,915,315","127"
"2016","New York State Sales and Use Tax","$12,782,651,496","1"
"2016","New York City Sales and Use Tax","$7,153,432,596","2"
"2016","Municipal Assistance Corporation Sales and Use Tax","$0","3"
"2016","Metropolitan Commuter Transportation District Sales and Use Tax","$647,127,755","4"
"2016","Albany County Sales and Use Tax","$251,654,489","5"
"2016","Allegany County Sales and Use Tax","$19,295,060","6"
"2016","Broome County Sales and Use Tax","$119,069,475","7"
"2016","Cattaraugus County Sales and Use Tax","$35,848,900","8"
"2016","Cayuga County Sales and Use Tax","$33,593,689","9"
"2016","Chautauqua County Sales and Use Tax","$55,020,410","10"
"2016","Chemung County Sales and Use Tax","$56,347,212","11"
"2016","Chenango County Sales and Use Tax","$20,363,423","12"
"2016","Clinton County Sales and Use Tax","$50,611,321","13"
"2016","Columbia County Sales and Use Tax","$35,395,890","14"
"2016","Cortland County Sales and Use Tax","$27,752,736","15"
"2016","Delaware County Sales and Use Tax","$19,716,747","16"
"2016","Dutchess County Sales and Use Tax","$174,413,076","17"
"2016","Erie County Sales and Use Tax","$728,267,106","18"
"2016","Essex County Sales and Use Tax","$27,139,896","19"
"2016","Franklin County Sales and Use Tax","$20,830,050","20"
"2016","Fulton County Sales and Use Tax","$19,161,401","21"
"2016","Genesee County Sales and Use Tax","$37,712,927","22"
"2016","Greene County Sales and Use Tax","$29,599,267","23"
"2016","Hamilton County Sales and Use Tax","$3,841,352","24"
"2016","Herkimer County Sales and Use Tax","$30,830,829","25"
"2016","Jefferson County Sales and Use Tax","$69,526,293","26"
"2016","Lewis County Sales and Use Tax","$11,664,383","27"
"2016","Livingston County Sales and Use Tax","$30,401,040","28"
"2016","Madison County Sales and Use Tax","$25,665,898","29"
"2016","Monroe County Sales and Use Tax","$454,338,060","30"
"2016","Montgomery County Sales and Use Tax","$27,284,552","31"
"2016","Nassau County Sales and Use Tax","$1,105,153,156","32"
"2016","Niagara County Sales and Use Tax","$117,012,927","33"
"2016","Oneida County Sales and Use Tax","$128,650,761","34"
"2016","Onondaga County Sales and Use Tax","$337,055,177","35"
"2016","Ontario County Sales and Use Tax","$78,825,740","36"
"2016","Orange County Sales and Use Tax","$264,403,013","37"
"2016","Orleans County Sales and Use Tax","$15,440,560","38"
"2016","Oswego County Sales and Use Tax","$41,063,712","39"
"2016","Otsego County Sales and Use Tax","$35,366,942","40"
"2016","Putnam County Sales and Use Tax","$54,664,294","41"
"2016","Rensselaer County Sales and Use Tax","$79,321,380","42"
"2016","Rockland County Sales and Use Tax","$198,324,313","43"
"2016","St. Lawrence County Sales and Use Tax","$54,770,397","44"
"2016","Saratoga County Sales and Use Tax","$114,479,107","45"
"2016","Schenectady County Sales and Use Tax","$93,846,356","46"
"2016","Schoharie County Sales and Use Tax","$13,747,968","47"
"2016","Schuyler County Sales and Use Tax","$10,371,954","48"
"2016","Seneca County Sales and Use Tax","$23,465,431","49"
"2016","Steuben County Sales and Use Tax","$52,724,975","50"
"2016","Suffolk County Sales and Use Tax","$1,313,607,815","51"
"2016","Sullivan County Sales and Use Tax","$36,613,049","52"
"2016","Tioga County Sales and Use Tax","$19,741,233","53"
"2016","Tompkins County Sales and Use Tax","$48,332,520","54"
"2016","Ulster County Sales and Use Tax","$108,655,053","55"
"2016","Warren County Sales and Use Tax","$50,138,077","56"
"2016","Washington County Sales and Use Tax","$20,056,168","57"
"2016","Wayne County Sales and Use Tax","$41,015,618","58"
"2016","Westchester County Sales and Use Tax","$499,585,528","59"
"2016","Wyoming County Sales and Use Tax","$16,592,784","60"
"2016","Yates County Sales and Use Tax","$10,885,547","61"
"2016","City of Amsterdam Sales and Use Tax","$0","62"
"2016","City of Auburn Sales and Use Tax","$8,463,095","63"
"2016","City of Batavia Sales and Use Tax","$1,069","64"
"2016","City of Canandaigua Sales and Use Tax","$1,294","65"
"2016","City of Corning Sales and Use Tax","$178,290","66"
"2016","City of Cortland Sales and Use Tax","$0","67"
"2016","City of Elmira Sales and Use Tax","$0","68"
"2016","City of Fulton Sales and Use Tax","$0","69"
"2016","City of Geneva Sales and Use Tax","$6,674","70"
"2016","City of Glen Cove Sales and Use Tax","$0","71"
"2016","City of Glens Falls Sales and Use Tax","$2,866,936","72"
"2016","City of Gloversville Sales and Use Tax","$3,440,675","73"
"2016","City of Hornell Sales and Use Tax","$134,846","74"
"2016","City of Ithaca Sales and Use Tax","$10,608,346","75"
"2016","City of Johnstown Sales and Use Tax","$3,547,067","76"
"2016","City of Mechanicville Sales and Use Tax","$0","77"
"2016","City of Mount Vernon Sales and Use Tax","$18,417,280","78"
"2016","City of New Rochelle Sales and Use Tax","$27,578,446","79"
"2016","City of Norwich Sales and Use Tax","$1,517,094","80"
"2016","City of Ogdensburg Sales and Use Tax","$8","81"
"2016","City of Olean Sales and Use Tax","$4,281,315","82"
"2016","City of Oneida Sales and Use Tax","$4,548,545","83"
"2016","City of Oswego Sales and Use Tax","$13,038,754","84"
"2016","City of Plattsburgh Sales and Use Tax","$0","85"
"2016","City of Rome Sales and Use Tax","$6,949,164","86"
"2016","City of Salamanca Sales and Use Tax","$574,657","87"
"2016","City of Saratoga Springs Sales and Use Tax","$11,643,025","88"
"2016","City of Schenectady Sales and Use Tax","$0","89"
"2016","City of Sherrill Sales and Use Tax","$0","90"
"2016","City of Troy Sales and Use Tax","$0","91"
"2016","City of Utica Sales and Use Tax","$9,530,978","92"
"2016","City of White Plains Sales and Use Tax","$50,019,018","93"
"2016","City of Yonkers Sales and Use Tax","$49,697,070","94"
"2016","City of Yonkers Special Sales and Use Tax","$29,024,767","95"
"2016","City of Newburgh Consumer Utilities","$1,152,453","96"
"2016","City of Port Jervis Consumer Utilities","$264,765","97"
"2016","Albany City School District Consumer Utilities","$4,031,365","98"
"2016","Batavia City School District Consumer Utilities","$758,011","99"
"2016","Cohoes City School District Consumer Utilities","$555,775","100"
"2016","Glen Cove City School District Consumer Utilities","$1,459,155","101"
"2016","Gloversville City School District Consumer Utilities","$546,143","102"
"2016","Hornell City School District Consumer Utilities","$258,137","103"
"2016","Hudson City School District Consumer Utilities","$613,889","104"
"2016","Johnstown City School District Consumer Utilities","$416,328","105"
"2016","Lackawanna City School District Consumer Utilities","$525,016","106"
"2016","Long Beach City School District Consumer Utilities","$1,654,161","107"
"2016","Middletown City School District Consumer Utilities","$1,575,784","108"
"2016","Mt. Vernon City School District Consumer Utilities","$2,577,175","109"
"2016","New Rochelle City School District Consumer Utilities","$3,374,862","110"
"2016","Newburgh City School District Consumer Utilities","$1,970,898","111"
"2016","Niagara Falls City School District Consumer Utilities","$1,830,930","112"
"2016","Ogdensburg City School District Consumer Utilities","$395,188","113"
"2016","Peekskill City School District Consumer Utilities","$880,650","114"
"2016","Rensselaer City School District Consumer Utilities","$351,753","115"
"2016","Rye City School District Consumer Utilities","$390,748","116"
"2016","Schenectady City School District Consumer Utilities","$2,080,395","117"
"2016","Troy City School District Consumer Utilities","$1,526,609","118"
"2016","Utica City School District Consumer Utilities","$1,717,377","119"
"2016","Watertown City School District Consumer Utilities","$1,166,672","120"
"2016","Watervliet City School District Consumer Utilities","$439,910","121"
"2016","White Plains City School District Consumer Utilities","$3,793,448","122"
"2016","New York City Convention Center Development Corporation Hotel Occupancy","$45,714,603","123"
"2016","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,246,520","124"
"2016","City of Long Beach Hotel Occupancy and Restaurant Meals","$2,358,288","125"
"2016","Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental","$24,256,182","126"
"2016","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$6,838,070","127"
"2015","New York State Sales and Use Tax","$12,263,327,571","1"
"2015","New York City Sales and Use Tax","$6,710,667,508","2"
"2015","Municipal Assistance Corporation Sales and Use Tax","$0","3"
"2015","Metropolitan Commuter Transportation District Sales and Use Tax","$704,485,048","4"
"2015","Albany County Sales and Use Tax","$252,678,750","5"
"2015","Allegany County Sales and Use Tax","$20,068,318","6"
"2015","Broome County Sales and Use Tax","$119,935,166","7"
"2015","Cattaraugus County Sales and Use Tax","$36,884,493","8"
"2015","Cayuga County Sales and Use Tax","$35,187,385","9"
"2015","Chautauqua County Sales and Use Tax","$55,684,595","10"
"2015","Chemung County Sales and Use Tax","$59,147,288","11"
"2015","Chenango County Sales and Use Tax","$21,187,007","12"
"2015","Clinton County Sales and Use Tax","$53,445,159","13"
"2015","Columbia County Sales and Use Tax","$36,040,078","14"
"2015","Cortland County Sales and Use Tax","$29,227,427","15"
"2015","Delaware County Sales and Use Tax","$22,068,222","16"
"2015","Dutchess County Sales and Use Tax","$174,697,630","17"
"2015","Erie County Sales and Use Tax","$733,365,974","18"
"2015","Essex County Sales and Use Tax","$28,171,983","19"
"2015","Franklin County Sales and Use Tax","$22,112,891","20"
"2015","Fulton County Sales and Use Tax","$19,626,926","21"
"2015","Genesee County Sales and Use Tax","$38,270,652","22"
"2015","Greene County Sales and Use Tax","$29,056,554","23"
"2015","Hamilton County Sales and Use Tax","$3,491,946","24"
"2015","Herkimer County Sales and Use Tax","$30,159,573","25"
"2015","Jefferson County Sales and Use Tax","$71,966,382","26"
"2015","Lewis County Sales and Use Tax","$12,125,273","27"
"2015","Livingston County Sales and Use Tax","$31,401,990","28"
"2015","Madison County Sales and Use Tax","$25,922,974","29"
"2015","Monroe County Sales and Use Tax","$453,208,971","30"
"2015","Montgomery County Sales and Use Tax","$29,422,175","31"
"2015","Nassau County Sales and Use Tax","$1,075,601,388","32"
"2015","Niagara County Sales and Use Tax","$119,282,056","33"
"2015","Oneida County Sales and Use Tax","$133,107,577","34"
"2015","Onondaga County Sales and Use Tax","$339,021,212","35"
"2015","Ontario County Sales and Use Tax","$78,796,234","36"
"2015","Orange County Sales and Use Tax","$261,332,770","37"
"2015","Orleans County Sales and Use Tax","$15,877,952","38"
"2015","Oswego County Sales and Use Tax","$41,812,359","39"
"2015","Otsego County Sales and Use Tax","$36,015,719","40"
"2015","Putnam County Sales and Use Tax","$56,058,374","41"
"2015","Rensselaer County Sales and Use Tax","$79,765,205","42"
"2015","Rockland County Sales and Use Tax","$195,995,014","43"
"2015","St. Lawrence County Sales and Use Tax","$56,906,835","44"
"2015","Saratoga County Sales and Use Tax","$111,997,682","45"
"2015","Schenectady County Sales and Use Tax","$95,355,613","46"
"2015","Schoharie County Sales and Use Tax","$15,138,160","47"
"2015","Schuyler County Sales and Use Tax","$10,170,340","48"
"2015","Seneca County Sales and Use Tax","$22,918,928","49"
"2015","Steuben County Sales and Use Tax","$47,325,966","50"
"2015","Suffolk County Sales and Use Tax","$1,297,661,047","51"
"2015","Sullivan County Sales and Use Tax","$36,108,864","52"
"2015","Tioga County Sales and Use Tax","$20,268,170","53"
"2015","Tompkins County Sales and Use Tax","$50,114,389","54"
"2015","Ulster County Sales and Use Tax","$107,017,490","55"
"2015","Warren County Sales and Use Tax","$49,719,792","56"
"2015","Washington County Sales and Use Tax","$19,931,886","57"
"2015","Wayne County Sales and Use Tax","$41,637,631","58"
"2015","Westchester County Sales and Use Tax","$504,131,420","59"
"2015","Wyoming County Sales and Use Tax","$16,787,898","60"
"2015","Yates County Sales and Use Tax","$11,020,734","61"
"2015","City of Amsterdam Sales and Use Tax","$8","62"
"2015","City of Auburn Sales and Use Tax","$9,126,159","63"
"2015","City of Batavia Sales and Use Tax","$780","64"
"2015","City of Canandaigua Sales and Use Tax","$3,805","65"
"2015","City of Corning Sales and Use Tax","$2,780,478","66"
"2015","City of Cortland Sales and Use Tax","$0","67"
"2015","City of Elmira Sales and Use Tax","$14","68"
"2015","City of Fulton Sales and Use Tax","$0","69"
"2015","City of Geneva Sales and Use Tax","$5,633","70"
"2015","City of Glen Cove Sales and Use Tax","$0","71"
"2015","City of Glens Falls Sales and Use Tax","$2,722,284","72"
"2015","City of Gloversville Sales and Use Tax","$3,676,862","73"
"2015","City of Hornell Sales and Use Tax","$2,644,677","74"
"2015","City of Ithaca Sales and Use Tax","$10,874,900","75"
"2015","City of Johnstown Sales and Use Tax","$4,071,834","76"
"2015","City of Mechanicville Sales and Use Tax","$0","77"
"2015","City of Mount Vernon Sales and Use Tax","$18,735,865","78"
"2015","City of New Rochelle Sales and Use Tax","$26,697,053","79"
"2015","City of Norwich Sales and Use Tax","$1,561,921","80"
"2015","City of Ogdensburg Sales and Use Tax","$5","81"
"2015","City of Olean Sales and Use Tax","$4,334,170","82"
"2015","City of Oneida Sales and Use Tax","$4,415,335","83"
"2015","City of Oswego Sales and Use Tax","$13,058,205","84"
"2015","City of Plattsburgh Sales and Use Tax","$0","85"
"2015","City of Rome Sales and Use Tax","$6,990,648","86"
"2015","City of Salamanca Sales and Use Tax","$637,733","87"
"2015","City of Saratoga Springs Sales and Use Tax","$11,306,420","88"
"2015","City of Schenectady Sales and Use Tax","$0","89"
"2015","City of Sherrill Sales and Use Tax","$1,205","90"
"2015","City of Troy Sales and Use Tax","$0","91"
"2015","City of Utica Sales and Use Tax","$9,834,394","92"
"2015","City of White Plains Sales and Use Tax","$51,672,061","93"
"2015","City of Yonkers Sales and Use Tax","$43,090,745","94"
"2015","City of Yonkers Special Sales and Use Tax","$28,727,156","95"
"2015","City of Newburgh Consumer Utilities","$1,074,658","96"
"2015","City of Port Jervis Consumer Utilities","$310,362","97"
"2015","Albany City School District Consumer Utilities","$4,492,570","98"
"2015","Batavia City School District Consumer Utilities","$820,413","99"
"2015","Cohoes City School District Consumer Utilities","$574,371","100"
"2015","Glen Cove City School District Consumer Utilities","$1,403,484","101"
"2015","Gloversville City School District Consumer Utilities","$613,252","102"
"2015","Hornell City School District Consumer Utilities","$332,789","103"
"2015","Hudson City School District Consumer Utilities","$668,146","104"
"2015","Johnstown City School District Consumer Utilities","$479,180","105"
"2015","Lackawanna City School District Consumer Utilities","$596,380","106"
"2015","Long Beach City School District Consumer Utilities","$1,778,517","107"
"2015","Middletown City School District Consumer Utilities","$1,498,209","108"
"2015","Mt. Vernon City School District Consumer Utilities","$2,715,270","109"
"2015","New Rochelle City School District Consumer Utilities","$3,499,499","110"
"2015","Newburgh City School District Consumer Utilities","$2,020,049","111"
"2015","Niagara Falls City School District Consumer Utilities","$2,141,365","112"
"2015","Ogdensburg City School District Consumer Utilities","$417,052","113"
"2015","Peekskill City School District Consumer Utilities","$933,368","114"
"2015","Rensselaer City School District Consumer Utilities","$408,332","115"
"2015","Rye City School District Consumer Utilities","$347,604","116"
