"Fiscal Year Ended","Taxing Jurisdiction","Amount Distributed","Jurisdiction Sort Order"
"2025","Rye City School District Consumer Utilities","$1,601,126","106"
"2025","Schenectady City School District Consumer Utilities","$2,674,161","107"
"2025","Troy City School District Consumer Utilities","$1,487,330","108"
"2025","Utica City School District Consumer Utilities","$2,221,958","109"
"2025","Watertown City School District Consumer Utilities","$1,326,374","110"
"2025","Watervliet City School District Consumer Utilities","$429,059","111"
"2025","White Plains City School District Consumer Utilities","$5,913,319","112"
"2025","New York City Convention Center Development Corporation Hotel Occupancy","$50,804,132","113"
"2025","City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services","$2,554,248","114"
"2025","City of Long Beach Hotel Occupancy and Restaurant Meals","$5,155,892","115"
"2025","City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services","$9,738,722","116"
"2024","New York State Sales and Use Tax","$18,709,013,111","1"
"2024","New York City Sales and Use Tax","$10,204,615,336","2"
"2024","Metropolitan Commuter Transportation District Sales and Use Tax","$1,319,718,081","3"
"2024","Albany County Sales and Use Tax","$357,303,003","4"
"2024","Allegany County Sales and Use Tax","$30,663,603","5"
"2024","Broome County Sales and Use Tax","$180,917,910","6"
"2024","Cattaraugus County Sales and Use Tax","$51,170,556","7"
"2024","Cayuga County Sales and Use Tax","$46,489,212","8"
"2024","Chautauqua County Sales and Use Tax","$91,726,317","9"
"2024","Chemung County Sales and Use Tax","$75,802,728","10"
"2024","Chenango County Sales and Use Tax","$32,781,017","11"
"2024","Clinton County Sales and Use Tax","$74,695,109","12"
"2024","Columbia County Sales and Use Tax","$61,892,344","13"
"2024","Cortland County Sales and Use Tax","$39,043,400","14"
"2024","Delaware County Sales and Use Tax","$31,190,464","15"
"2024","Dutchess County Sales and Use Tax","$252,256,594","16"
"2024","Erie County Sales and Use Tax","$1,038,974,182","17"
"2024","Essex County Sales and Use Tax","$42,585,729","18"
"2024","Franklin County Sales and Use Tax","$33,606,974","19"
"2024","Fulton County Sales and Use Tax","$29,475,470","20"
"2024","Genesee County Sales and Use Tax","$56,355,874","21"
"2024","Greene County Sales and Use Tax","$48,256,953","22"
"2024","Hamilton County Sales and Use Tax","$5,408,066","23"
"2024","Herkimer County Sales and Use Tax","$45,745,400","24"
"2024","Jefferson County Sales and Use Tax","$103,725,000","25"
"2024","Lewis County Sales and Use Tax","$18,089,340","26"
"2024","Livingston County Sales and Use Tax","$47,789,905","27"
"2024","Madison County Sales and Use Tax","$41,857,344","28"
"2024","Monroe County Sales and Use Tax","$637,806,619","29"
"2024","Montgomery County Sales and Use Tax","$47,019,553","30"
"2024","Nassau County Sales and Use Tax","$1,561,637,134","31"
"2024","Niagara County Sales and Use Tax","$168,520,240","32"
"2024","Oneida County Sales and Use Tax","$196,845,083","33"
"2024","Onondaga County Sales and Use Tax","$486,483,659","34"
"2024","Ontario County Sales and Use Tax","$115,026,864","35"
"2024","Orange County Sales and Use Tax","$390,627,332","36"
"2024","Orleans County Sales and Use Tax","$23,067,221","37"
"2024","Oswego County Sales and Use Tax","$62,393,526","38"
"2024","Otsego County Sales and Use Tax","$50,462,113","39"
"2024","Putnam County Sales and Use Tax","$89,048,484","40"
"2024","Rensselaer County Sales and Use Tax","$124,519,791","41"
"2024","Rockland County Sales and Use Tax","$281,377,520","42"
"2024","St. Lawrence County Sales and Use Tax","$80,435,537","43"
"2024","Saratoga County Sales and Use Tax","$172,071,280","44"
"2024","Schenectady County Sales and Use Tax","$131,508,149","45"
"2024","Schoharie County Sales and Use Tax","$24,684,942","46"
"2024","Schuyler County Sales and Use Tax","$16,112,027","47"
"2024","Seneca County Sales and Use Tax","$33,076,621","48"
"2024","Steuben County Sales and Use Tax","$75,133,553","49"
"2024","Suffolk County Sales and Use Tax","$1,930,876,953","50"
"2024","Sullivan County Sales and Use Tax","$78,851,400","51"
"2024","Tioga County Sales and Use Tax","$33,388,442","52"
"2024","Tompkins County Sales and Use Tax","$66,038,473","53"
"2024","Ulster County Sales and Use Tax","$170,370,529","54"
"2024","Warren County Sales and Use Tax","$73,075,970","55"
"2024","Washington County Sales and Use Tax","$29,691,879","56"
"2024","Wayne County Sales and Use Tax","$64,328,098","57"
"2024","Westchester County Sales and Use Tax","$874,486,490","58"
"2024","Wyoming County Sales and Use Tax","$26,170,817","59"
"2024","Yates County Sales and Use Tax","$20,573,825","60"
"2024","City of Auburn Sales and Use Tax","$10,807,046","61"
"2024","City of Corning Sales and Use Tax","$929","62"
"2024","City of Fulton Sales and Use Tax","$438","63"
"2024","City of Geneva Sales and Use Tax","$3,465","64"
"2024","City of Glens Falls Sales and Use Tax","$4,963,723","65"
"2024","City of Gloversville Sales and Use Tax","$4,462,695","66"
"2024","City of Hornell Sales and Use Tax","$2,408","67"
"2024","City of Ithaca Sales and Use Tax","$14,103,563","68"
"2024","City of Johnstown Sales and Use Tax","$5,448,836","69"
"2024","City of Mount Vernon Sales and Use Tax","$30,144,118","70"
"2024","City of New Rochelle Sales and Use Tax","$41,268,546","71"
"2024","City of Norwich Sales and Use Tax","$2,623,022","72"
"2024","City of Ogdensburg Sales and Use Tax","$2,063,360","73"
"2024","City of Olean Sales and Use Tax","$5,341,381","74"
"2024","City of Oneida Sales and Use Tax","$6,947,381","75"
"2024","City of Oswego Sales and Use Tax","$21,834,975","76"
"2024","City of Rome Sales and Use Tax","$10,014,188","77"
"2024","City of Salamanca Sales and Use Tax","$869,889","78"
"2024","City of Saratoga Springs Sales and Use Tax","$18,384,725","79"
"2024","City of Sherrill Sales and Use Tax","$85","80"
"2024","City of Utica Sales and Use Tax","$13,920,344","81"
"2024","City of White Plains Sales and Use Tax","$56,623,541","82"
"2024","City of Yonkers Sales and Use Tax","$79,535,558","83"
"2024","City of Yonkers Special Sales and Use Tax","$39,765,745","84"
"2024","City of Newburgh Consumer Utilities","$1,534,842","85"
"2024","City of Port Jervis Consumer Utilities","$474,908","86"
"2024","Albany City School District Consumer Utilities","$4,762,554","87"
"2024","Batavia City School District Consumer Utilities","$886,627","88"
"2024","Cohoes City School District Consumer Utilities","$696,966","89"
"2024","Glen Cove City School District Consumer Utilities","$1,517,312","90"
"2024","Gloversville City School District Consumer Utilities","$738,723","91"
"2024","Hornell City School District Consumer Utilities","$416,662","92"
"2024","Hudson City School District Consumer Utilities","$800,465","93"
"2024","Johnstown City School District Consumer Utilities","$642,692","94"
"2024","Lackawanna City School District Consumer Utilities","$795,491","95"
"2024","Long Beach City School District Consumer Utilities","$1,910,794","96"
"2024","Middletown City School District Consumer Utilities","$2,508,098","97"
"2024","Mt. Vernon City School District Consumer Utilities","$4,585,545","98"
"2024","New Rochelle City School District Consumer Utilities","$4,961,849","99"
"2024","Newburgh City School District Consumer Utilities","$3,930,195","100"
"2024","Niagara Falls City School District Consumer Utilities","$2,396,097","101"
"2024","Ogdensburg City School District Consumer Utilities","$407,218","102"
"2024","Peekskill City School District Consumer Utilities","$1,286,109","103"
"2024","Poughkeepsie City School District Consumer Utilities","$1,867,890","104"
"2024","Rensselaer City School District Consumer Utilities","$513,868","105"
"2024","Rye City School District Consumer Utilities","$1,110,623","106"
"2024","Schenectady City School District Consumer Utilities","$2,964,164","107"
"2024","Troy City School District Consumer Utilities","$1,601,659","108"
"2024","Utica City School District Consumer Utilities","$2,271,663","109"
