date,Sales Tax Revenue,unemp,GasPrice,metro_ridership,CPI_U,la_search_sentiment,la_news_sentiment
2024-10-01,"44,441,249.28",5.9,4.6,6432722,334.242,38,0.424464516
2024-11-01,"38,840,714.54",5.9,4.508,6162156,333.718,37,0.304943333
2024-12-01,"49,323,873.48",5.8,4.433,5849533,334.531,49,-0.268725807
2025-01-01,"39,513,346.68",5.8,4.51,5751977,337.508,36,-0.229890323
2025-02-01,"35,564,893.86",5.8,4.752,6007146,338.438,31,0.777332143
2025-03-01,"51,795,674.13",5.7,4.746,6068350,340.648,39,0.457319355
2025-04-01,"41,227,855.26",5.7,4.897,6191551,342.565,34,0.408353333
2025-05-01,"45,725,464.51",5.7,4.827,6293493,343.01,35,0.205493548
2025-06-01,"44,903,293.35",5.7,4.704,5577184,343.024,43,-1.307628571
2025-07-01,"45,470,455.20",5.6,4.571,5350085,343.624,50,0.424186667
2025-08-01,"42,970,525.10",5.6,4.574,5660886,344.503,44,0.726580645
2025-09-01,"40,868,516.38",5.6,4.765,6137530,345.865,34,0.32705
2025-10-01,"40,183,863.67",5.6,4.8125,6145179,345.758,35,0.609116129
2025-11-01,"39,787,944.10",5.6,4.86,5694857,345.65,59,0.44689
2025-12-01,"58,334,027.46",5.6,4.584,5638307,344.602,69,0.456170968
2026-01-01,"39,109,614.01",5.5,4.429,5481571,347.69,49,-0.417093548
2026-02-01,"34,595,560.94",5.5,4.632,5825786,348.361,58,0.638607143
2026-03-01,"52,746,593.02",5.4,5.611,6074373,352.221,60,0.270148387
2026-04-01,"41,147,219.65",5.5,6.055,6074810,355.166,49,1.7938
