,coef_log_dev,p_value,approx_pct_effect_vs_Jan
m_2,-0.11339204134614042,0.023345027750996516,-10.7199423243023
m_3,-0.030758123481908286,0.6426693201947784,-3.028990518647623
m_4,-0.04247845073233064,0.2988082274074718,-4.158888164385388
m_5,0.14254831206251578,0.013814217082364737,15.32087935068902
m_6,-0.08901065647600898,0.11430295384700681,-8.516417540350973
m_7,0.07294636608274727,0.08949113570337268,7.567284281929432
m_8,0.08010154733475636,0.07245313498451941,8.339707817499908
m_9,-0.052480203836877584,0.26233604280191924,-5.1126895083356105
m_10,0.01419858085926428,0.7260082715135698,1.4299859478331234
m_11,0.010730148172975806,0.8301856537668015,1.0787922670949524
m_12,0.22088135335825432,0.0075587284232228906,24.71754486068125
