,R2,MAPE_%,RMSE
yoy_logdiff | RandomForest,0.7646575303976608,3.2639045359319496,43500582.083416976
yoy_logdiff | Ridge,0.6577036372782243,4.489415268589314,52462146.66327935
yoy_logdiff | GradientBoosting,0.31944755481366527,4.872249847365972,73973422.82827854
mom_logdiff | Ridge,0.23725818662098985,7.437242319575193,78312969.59899798
mom_logdiff | GradientBoosting,0.04202475263082561,7.468585008693564,87765141.81619911
trend_dev | Ridge,0.06504099765083315,8.545115896770504,86704412.30653694
trend_dev | GradientBoosting,-0.019379297701539677,8.819794395169469,90534231.56749459
trend_dev | RandomForest,-0.14024515801858883,9.500852903104084,95751157.66098827
mom_logdiff | RandomForest,-0.8965458215246602,11.646090654978119,123488519.820599
