date,la_news_sentiment
2018-04-01 00:00:00+00:00,-1.41178
2018-05-01 00:00:00+00:00,-0.5313129032258065
2018-06-01 00:00:00+00:00,0.45152000000000003
2018-07-01 00:00:00+00:00,-0.2725
2018-08-01 00:00:00+00:00,-0.6922838709677419
2018-09-01 00:00:00+00:00,0.35986999999999997
2018-10-01 00:00:00+00:00,0.5781225806451613
2018-11-01 00:00:00+00:00,-0.17989666666666668
2018-12-01 00:00:00+00:00,0.7882548387096774
2019-01-01 00:00:00+00:00,0.5055483870967742
2019-02-01 00:00:00+00:00,0.00790000000000005
2019-03-01 00:00:00+00:00,0.14170645161290324
2019-04-01 00:00:00+00:00,-0.12879
2019-05-01 00:00:00+00:00,0.3641483870967742
2019-06-01 00:00:00+00:00,-0.12722666666666668
2019-07-01 00:00:00+00:00,0.3550129032258064
2019-08-01 00:00:00+00:00,-0.8591387096774193
2019-09-01 00:00:00+00:00,-0.06389666666666664
2019-10-01 00:00:00+00:00,-0.2386483870967742
2019-11-01 00:00:00+00:00,0.6991333333333334
2019-12-01 00:00:00+00:00,1.0360032258064518
2020-01-01 00:00:00+00:00,0.03635806451612904
2020-02-01 00:00:00+00:00,-0.10386896551724138
2020-03-01 00:00:00+00:00,-1.525616129032258
2020-04-01 00:00:00+00:00,-1.5190266666666665
2020-05-01 00:00:00+00:00,-1.680890322580645
2020-06-01 00:00:00+00:00,-2.0347133333333334
2020-07-01 00:00:00+00:00,-2.216861290322581
2020-08-01 00:00:00+00:00,-0.9035258064516128
2020-09-01 00:00:00+00:00,-0.07332000000000001
2020-10-01 00:00:00+00:00,0.03638333333333334
2020-11-01 00:00:00+00:00,-0.71449
2020-12-01 00:00:00+00:00,-1.1844451612903224
2021-01-01 00:00:00+00:00,-0.8970516129032259
2021-02-01 00:00:00+00:00,-0.44844999999999996
2021-03-01 00:00:00+00:00,-0.8369645161290323
2021-04-01 00:00:00+00:00,-0.5124666666666667
2021-05-01 00:00:00+00:00,-0.5124354838709677
2021-06-01 00:00:00+00:00,-0.9688633333333333
2021-07-01 00:00:00+00:00,-1.3898870967741936
2021-08-01 00:00:00+00:00,-0.5786903225806451
2021-09-01 00:00:00+00:00,-0.7501066666666667
2021-10-01 00:00:00+00:00,-1.4316967741935482
2021-11-01 00:00:00+00:00,-1.2058333333333333
2021-12-01 00:00:00+00:00,-0.9941096774193549
2022-01-01 00:00:00+00:00,-0.8323096774193549
2022-02-01 00:00:00+00:00,-0.1439535714285714
2022-03-01 00:00:00+00:00,0.457283870967742
2022-04-01 00:00:00+00:00,-0.04709333333333333
2022-05-01 00:00:00+00:00,-0.4285903225806451
2022-06-01 00:00:00+00:00,-0.32899999999999996
2022-07-01 00:00:00+00:00,0.027199999999999988
2022-08-01 00:00:00+00:00,0.19436129032258065
2022-09-01 00:00:00+00:00,0.20046333333333333
2022-10-01 00:00:00+00:00,0.3652
2022-11-01 00:00:00+00:00,0.35354
2022-12-01 00:00:00+00:00,0.2647387096774193
2023-01-01 00:00:00+00:00,-1.334141935483871
2023-02-01 00:00:00+00:00,-2.046625
2023-03-01 00:00:00+00:00,-1.4988666666666668
2023-04-01 00:00:00+00:00,-0.91179
2023-05-01 00:00:00+00:00,0.3491774193548387
2023-06-01 00:00:00+00:00,0.40399
2023-07-01 00:00:00+00:00,0.5702612903225805
2023-08-01 00:00:00+00:00,-0.2922161290322581
2023-09-01 00:00:00+00:00,0.4470366666666667
2023-10-01 00:00:00+00:00,0.2757806451612903
2023-11-01 00:00:00+00:00,0.55176
2023-12-01 00:00:00+00:00,0.04717096774193551
2024-01-01 00:00:00+00:00,0.0562032258064516
2024-02-01 00:00:00+00:00,0.6713862068965517
2024-03-01 00:00:00+00:00,0.6789645161290322
2024-04-01 00:00:00+00:00,0.16234666666666664
2024-05-01 00:00:00+00:00,0.8889838709677419
2024-06-01 00:00:00+00:00,0.5979366666666667
2024-07-01 00:00:00+00:00,-0.191458064516129
2024-08-01 00:00:00+00:00,0.6969677419354839
2024-09-01 00:00:00+00:00,0.4346433333333333
2024-10-01 00:00:00+00:00,0.42446451612903224
2024-11-01 00:00:00+00:00,0.3049433333333333
2024-12-01 00:00:00+00:00,-0.2687258064516129
2025-01-01 00:00:00+00:00,-0.22989032258064515
2025-02-01 00:00:00+00:00,0.7773321428571428
2025-03-01 00:00:00+00:00,0.45731935483870967
2025-04-01 00:00:00+00:00,0.4083533333333333
2025-05-01 00:00:00+00:00,0.20549354838709674
2025-06-01 00:00:00+00:00,-1.3076285714285714
2025-07-01 00:00:00+00:00,0.42418666666666666
2025-08-01 00:00:00+00:00,0.7265806451612904
2025-09-01 00:00:00+00:00,0.32705
2025-10-01 00:00:00+00:00,0.6091161290322581
2025-11-01 00:00:00+00:00,0.44688999999999995
2025-12-01 00:00:00+00:00,0.45617096774193544
2026-01-01 00:00:00+00:00,-0.4170935483870968
2026-02-01 00:00:00+00:00,0.6386071428571428
2026-03-01 00:00:00+00:00,0.27014838709677425
2026-04-01 00:00:00+00:00,1.7938
