,coef_log_dev,p_value,approx_pct_effect_vs_Jan
m_2,0.0847398316457151,0.25417439908180284,8.843385381398639
m_3,0.3081045280036968,0.0005565842427734364,36.0843227728991
m_4,-0.005143478426917841,0.9634273329066497,-0.5130273391392826
m_5,-0.018283676333644305,0.8975366693698702,-1.8117543967783423
m_6,0.08450190064250858,0.7278720136632699,8.81749124615341
m_7,-0.23204647794148026,0.5334752073097498,-20.709073034038493
m_8,-0.2376159722116325,0.5616278298536201,-21.149455904152383
m_9,-0.051590731901422236,0.8599665572305971,-5.028252361953378
m_10,0.06573468353754897,0.6996926451909583,6.794333662672258
m_11,0.02740529544149324,0.8201113983688244,2.7784274642062456
m_12,-0.03169393274814289,0.7070293494989055,-3.119694440471721
