,R2,MAE,RMSE,MAPE_%,sMAPE_%
Ridge (linear baseline),-0.29944261099342584,9599485.688507972,11487972.4722344,18.071498734176306,16.14767664469412
RandomForest,-0.6675711414887808,10969648.502775392,13013886.646810794,20.643411256374254,18.20344774146788
GradientBoosting,-0.4782143046232945,10457869.561152017,12252748.931625929,18.918439456093868,17.429565955407504
