date,actual,predicted,abs_pct_error
2021-01,38476836.9,58408612.70385843,51.802012352679725
2021-02,46109877.15,60831116.88964346,31.926434528883718
2021-03,56464654.48,61126956.363024086,8.25702720748162
2021-04,61177461.54,70402971.70937401,15.07991658552561
2021-05,60080433.44,70790389.50901279,17.826029966492186
2021-06,61922896.3,69081028.26775847,11.55974993979485
2021-07,59972884.82,70358068.78604895,17.31646559477435
2021-08,55502405.69,68670863.24479863,23.725922130923465
2021-09,68824077.96,66901822.5275845,2.7929984525658194
2021-10,57567755.4,61447641.70140619,6.739686608323433
2021-11,54773167.33,60341770.395323485,10.166662504239532
2021-12,81000519.72,56839386.93883982,29.828367601442075
