,R2,MAE,RMSE,MAPE_%,sMAPE_%
RandomForest,-1.0354641293389681,12485412.132570093,14377936.489425404,23.329820063250605,20.22317773556785
GradientBoosting,-0.24788929073091226,9328209.59797428,11257782.739567097,17.014997691029087,15.600120967648085
